hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
1,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Palace Road Rajasthan, Jaipur, Rajasthan, 302006",Jaipur,India,"26.918753, 75.791663",84
2,Jaipur Marriott Hotel,4.4,Excellent,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Ashram Marg Near Jawahar Circle, Tonk Road, Jaipur, Rajasthan, 302015",Jaipur,India,"26.840895, 75.796167",112
3,Hilton Jaipur,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","42 Geejgarh House Hawa Sadak, Jaipur, Rajasthan, 302006",Jaipur,India,"26.901508, 75.783514",91
4,"Trident, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Amber Fort Road Opposite Jal, Jaipur, Rajasthan, 302002",Jaipur,India,"26.956677, 75.843231",83
5,The Oberoi Rajvilas,4.8,Exceptional,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Goner Road, Jaipur, Rajasthan, 303012",Jaipur,India,"26.876067, 75.882354",381
6,Umaid Bhawan - A Heritage Style Boutique Hotel,4.3,Excellent,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Behari Marg, Bank Road, bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.92844, 75.79236",51
7,Radisson Jaipur City Center,4.0,Very Good,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Khasa Kothi Circle, M.I. Road, Jaipur, Rajasthan, 302001",Jaipur,India,"26.920224, 75.794316",64
8,Umaid Mahal - A Heritage Style Boutique Hotel,4.3,Excellent,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","C-20/B2 Behari Marg Bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.927879, 75.78891",40
9,"Four Points by Sheraton Jaipur, City Square",4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","City Square, Vasundhara Colony, Tonk Road, Jaipur, Rajasthan, 302018",Jaipur,India,"26.863574, 75.796034",94
10,"Devi Ratn, Jaipur -IHCL SeleQtions",4.7,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Pool']","Jamdoli, Agra Road, Tehsil Ballupura, Jaipur, Rajasthan, 302031",Jaipur,India,"26.916746, 75.880932",160
11,5 BY OYO METROPOLITAN,4.1,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Near Nehru Sehkar Bhawan, C Scheme, Jaipur, RJ, 302007",Jaipur,India,"26.902057, 75.793617",153
12,Radisson Blu Jaipur,3.8,Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Plot No 5 & 6 Airport Plaza, Tonk Road, Jaipur, Rajasthan, 302018",Jaipur,India,"26.842498, 75.793736",94
13,"Crowne Plaza Jaipur Tonk Road, an IHG Hotel",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","SP1, Sitapura (RIICO), Tonk Road, Jaipur, Rajasthan, 302022",Jaipur,India,"26.779667, 75.827339",99
14,Indana Palace Jaipur,4.5,Wonderful,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Kukas, Jaipur Delhi Highway, Jaipur, Rajasthan, 302028",Jaipur,India,"27.028725, 75.808142",93
15,Royal Heritage Haveli,4.4,Excellent,"['Air conditioning', 'Spa', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry']","Khatipura Tiraya, Khatipura Road, Jaipur, Rajasthan, 302012",Jaipur,India,"26.925373, 75.745785",146
16,Umaid Haveli Hotel & Resorts,3.8,Good,"['Air conditioning', 'Spa', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry']","CP-5 RIICO Kukas, Amer, Rajasthan, 302028",Jaipur,India,"27.029656, 75.89593",51
17,Narain Niwas Palace,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","J-5, Narayan Singh Road, Jaipur, RJ, 302004",Jaipur,India,"26.899523, 75.813088",113
18,Pearl Palace Heritage,4.8,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Breakfast available', 'Room service']","54 , Gopal Bari, Jaipur, RJ, 302001",Jaipur,India,"26.91593, 75.79243",39
19,Ramada by Wyndham Jaipur,4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Govind Marg Raja Park, Jaipur, Rajasthan, 302004",Jaipur,India,"26.896044, 75.829106",339
20,Hotel 360,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","8th Floor, Anukampa Plaza, Nr Rajmandir, Bhagwandas Road, C Scheme, Jaipur, Rajasthan, 302001",Jaipur,India,"26.914525, 75.809592",27
21,"Tree of Life Chhota Mahal, Amer, Jaipur",,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Pet friendly', 'Pool', 'Restaurant']","BARA BUNGALOW AMER, KAMAL BAGH, Amer, Amer, Rajasthan, 302028",Jaipur,India,"27.014391, 75.892709",96
22,Vesta International,3.5,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","S-3, Linking Road, Near Ajmer Pulia, Gopalbadi, Jaipur, Rajasthan, 302001",Jaipur,India,"26.914604, 75.790847",26
23,Hotel Triveni Residency,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Breakfast available', 'Housekeeping']","Plot No 1, Satya Vihar Colony, Near Vidhansabha, Lalkothi, Jaipur, Rajasthan, 302015",Jaipur,India,"26.892026, 75.800203",30
24,Hotel Empire Regency,,,"['Free WiFi', 'Parking included', 'Pool', 'Restaurant', 'Breakfast available', 'Business services']","D-1, Madho Singh Road, Nr. Collectorate Circle, Banipark, Jaipur, Rajasthan, 302016",Jaipur,India,"26.928404, 75.793246",33
25,The Fern Residency Jaipur,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","A - 13, Govind Marg, Janata Marg, Near Pink Square Mall, Jaipur, Rajasthan, 302004",Jaipur,India,"26.90353, 75.83707",56
26,Dera Rawatsar - Heritage Hotel,4.6,Wonderful,"['Free airport shuttle', 'Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry']","D-194/C, Vijay Path, Bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.925349, 75.800807",40
27,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Palace Road Rajasthan, Jaipur, Rajasthan, 302006",Jaipur,India,"26.918753, 75.791663",84
28,Jaipur Marriott Hotel,4.4,Excellent,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Ashram Marg Near Jawahar Circle, Tonk Road, Jaipur, Rajasthan, 302015",Jaipur,India,"26.840895, 75.796167",112
29,Ramada by Wyndham Jaipur North,,,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Pool', 'Restaurant']","A-2/3/11/12, Metal Colony Sikar Road, Opposite Bhawani Niketan School, Jaipur, RJ, 302023",Jaipur,India,"26.947762, 75.77337",80
