hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
1,Suryagarh,4.7,Exceptional,"['Spa', 'Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry']","Kahala Phata Sam Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.915833, 70.778365",146
2,Hotel Jaisalkot,4.4,Excellent,"['Spa', 'Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool']","Kuldhara Turn, Off Sam Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.907567, 70.785272",201
3,Jaisalmer Marriott Resort & Spa,4.6,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Jaisalmer-Sam-Dhanana Road, Police Line, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.91573, 70.899416",168
4,Sunrise Desert Resort,,,"['Spa', 'Free WiFi', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly']","Sam Sand Dunes, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.913951, 70.553241",57
5,Hotel Tokyo Palace,4.2,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Near Fort, Airforce Chouraha, Dhibba Para, Jaisalmer, Rajasthan, 345 001",Jaisalmer,India,"26.909939, 70.912569",27
6,Hotel Rang Mahal,4.1,Very Good,"['Hot Tub', 'Spa', 'Free WiFi', 'Air conditioning', 'Parking included', 'Laundry']","5-6 Hotel Complex, Sam Road, P.B. No.50, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.915632, 70.886555",60
7,Jaisalmer Marriott Resort & Spa,4.6,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Jaisalmer-Sam-Dhanana Road, Police Line, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.91573, 70.899416",168
8,Shiv Tara Desert Camp,,,"['Parking included', 'Breakfast included', 'Restaurant', 'Room service', 'Housekeeping', '24/7 front desk']","Opp sam sand dunes, Sam Village, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.83008, 70.53435",321
9,Mystic Jaisalmer,3.9,Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Near Gadisar gate, Dhibba Para, Old City, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.911927, 70.918261",78
11,Hotel Antra Inn Jaisalmer,4.7,Exceptional,"['Free airport shuttle', 'Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry']","Opposite Bhomi Vikas Bank, C.V. Singh Colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.917405, 70.904995",67
12,WelcomHeritage Mandir Palace,4.2,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Gandhi Chowk, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.91513, 70.91016",66
13,Amazing Desert Camp,,,"['Parking included', 'Breakfast included', 'Restaurant', 'Bar', 'Room service', 'Housekeeping']","7 Km Mile Stone Road, Sam Sand Dunes, Kanoi, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.867436, 70.543552",181
14,Aroma Desert Safari Camp,5.0,Exceptional,"['Spa', 'Free WiFi', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly']","Sand Dunes, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.839243, 70.541704",36
15,Sam Desert Den,,,"['Spa', 'Parking included', 'Pet friendly', 'Outdoor Space', '24/7 front desk', 'Restaurant']","Sam road Sam sand dunes, Opposite national park, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.86659, 70.56661",74
16,The Bheemgarh,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","No 33 Air Force School Rd, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.906287, 70.911118",43
17,Hotel Pleasant Haveli,4.6,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Chainpura Street, Gandhi Chowk, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.917717, 70.911426",33
18,1st Gate Home - Fusion,4.9,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant']","Dhibba Para, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.91254, 70.915339",99
19,Hotel Heritage House,5.0,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","583 Hotel Heritage House, Anchalvanshi Colony, Jaisalmer 345001, Jaisalmer, RAJASHTHAN, 345001",Jaisalmer,India,"26.92334, 70.90874",33
20,Classic Thar Resort,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly']","sand dunes, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.855713, 70.551591",47
21,Hotel Fifu,4.6,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Opposite: Nagar Palika, Bera Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.908906, 70.914123",29
22,DholaMaru Grand,,,"['Free WiFi', 'Parking included', 'Pool', 'Restaurant', 'Business services', 'Bar']","Mohangarh Rd, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.922818, 70.923103",87
23,Hotel Romany Haveli Jaisalmer,,,"['Free WiFi', 'Parking included', 'Breakfast included', 'Restaurant', 'Housekeeping', '24/7 front desk']","Fort area near National Handloom, Dhibba Para Manak Chowk Amar Sagar Pol, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.9113, 70.9147",14
24,Bhati Desert camp Sam,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly']","84/514 sam Village & Post, Sam Dunes, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.85615, 70.552254",37
25,Hotel Helsinki House,4.6,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant']","Bera Road Opp Nagar Palika, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.903922, 70.911994",24
26,Royal Villa Jaisalmer,5.0,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","near airforce circle, Dhibba Para, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.909652, 70.912319",29
27,Hotel Chouhan Palace,,,"['Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant', 'Bar']","Jodhpur Road, Opp. BSF Gate, Indira Colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.916956, 70.939487",72
29,Treebo Trip Chandrangan Excellency,4.0,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Room service']","near Geeta Ashram, Bhaskar Mohalla,, Sadar Bazar, Jaisalmer,, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.918005, 70.909096",34
30,Hotel Marina Mahal,4.8,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Dr. K. L. Achalvanshi Colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.922103, 70.909016",67
31,Hotel Royal Haveli,4.1,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant']","Near Airforce Cricle, Dhibba Para, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.909885, 70.912613",25
32,Gaji Hotel,4.8,Exceptional,"['All inclusive', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Near sunset Point, Kalakar colony, Jaisalmer, Jaisalmer, 345001",Jaisalmer,India,"26.91909, 70.91164",13
33,Hotel Swan Haveli,4.0,Very Good,"['Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Room service', 'Housekeeping']","Near Sunset point, Patwa Haveli Road, Kalakar Colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.919167, 70.911479",32
34,Patel Desert Camp,,,"['Free WiFi', 'Parking included', 'Laundry', 'Outdoor Space', '24/7 front desk', 'Restaurant']","142/573, Near Parking Area Sam, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.829807, 70.502253",67
35,Sairafort Sarovar Portico,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","SPL-1,Shilp Gram, RICO Industrial Area, Ramgarh By Pass, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.911588, 70.922935",52
36,Hotel Shahi Palace,4.4,Excellent,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","shiv road , behind HDFC bank, silawata para, Jaisalmer, Rajsthan, 345001",Jaisalmer,India,"26.91295, 70.91115",18
37,Golden Haveli,3.8,Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Bera Road, Near Gadsagar Lake, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.90579, 70.91568",52
38,The Legend Haveli,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Plot no. 564 Dr. K. L. Achalvansi colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.92351, 70.909157",33
39,Abu Safari Jaisalmer,4.2,Very Good,"['Free airport shuttle', 'Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pet friendly']","Near Fort, Dhibba Para, Front of Fort Ring Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.909649, 70.908798",3
41,Hotel Imperial,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Business services']","1, C VSingh Colony, Near Hanuman Circle, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.915825, 70.908103",30
42,Royal Desert Camps,4.0,Very Good,"['Parking included', 'Laundry', 'Restaurant', 'Business services', 'Room service', 'Housekeeping']","ROYAL DESERT SAFARIES PVT. LTD, Nachna Haveli, Gandhi Chowk, Jaisalmer, Jaisalmer, 345001",Jaisalmer,India,"26.91575, 70.90834",66
43,Hotel Radhika Jaisalmer,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","kl anchal vanshi colony dedansar road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.92424, 70.90982",16
44,Sky Desert Safari,,,"['Free WiFi', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly', 'Restaurant']","Sam Sand Dunes, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.848654, 70.546722",61
45,Hotel Paradise,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Off Fort Janga Para Road, Inside Fort, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.912259, 70.912343",29
46,Hotel Sky Plaza,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Bar']","703,Officers Colony Circle, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.911157, 70.908269",52
47,Royal Jaisalmer Resort with Swimming  Pool,,,"['Free WiFi', 'Parking included', 'Pet friendly', 'Pool', 'Outdoor Space', 'Barbecue grill']","Sam Sand Dunes, Sam Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.82638, 70.531397",120
48,Mahadev Palace,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Pool', 'Restaurant', 'Breakfast available']","H-3 RIICO, Jethwai Road, Jaisalmer, Jaisalmer, Rajasthan, India, Jaisalmer, 345001",Jaisalmer,India,"26.92208, 70.92293",30
49,Hotel Pol Haveli,,,"['Free WiFi', 'Laundry', 'Restaurant', 'Breakfast available', 'Bar', 'Room service']","Near Geeta Ashram, dedanser road, Jaisalmer, rajasthan, 345001",Jaisalmer,India,"26.9184, 70.909019",10
50,Gorakh Haveli,3.5,Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly']","Near Fort First Gate, Dhibbapara, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.907784, 70.911883",25
51,K K Resorts & Camp,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Restaurant', 'Business services']","42 KM Sam Road Opp Sam Sand Dunes, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.840662, 70.541967",63
52,OYO 24960 Amigo Camps,,,"['Air conditioning', 'Parking included', '24/7 front desk', 'Restaurant', 'Housekeeping']","Amigo Camps, Near Toll Barrier Sam Sand Dunes Kanoi, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.868614, 70.567367",59
53,Hotel Akashdeep,3.8,Good,"['Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant', 'Breakfast available']","Hanuman Circle, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.917026, 70.908693",27
54,Himmatgarh Palace,,,"['Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant', 'Bar']","Ramgarh Road, Opposite Vyas Chattri, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.923823, 70.904411",30
55,Hotel Rose Fort Jaisalmer,4.0,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Kalakar Colony, Rajasthan India, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.91907, 70.9119",12
56,Prithvi Palace,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Bar']","kalakar colony, Malka Pol, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.919127, 70.911913",17
58,Charming Home in City Center Jaisalmer,,,"['Free WiFi', 'Air conditioning', 'Pet friendly', 'Pool', 'Kitchen']","Jaisalmer, Rajasthan",Jaisalmer,India,"26.910917, 70.919551",81
63,OYO 1397 Rana Villa,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry', 'Pool']","Near Nagarpalika, Gadisar Road, Manak Chowk, Amar Sagar Pol, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.909702, 70.916187",62
64,Limra Desert Camp Jaisalmer,,,"['Free WiFi', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly', 'Kitchen']","before parking of Sand Dunes, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.856375, 70.552904",60
65,Moustache Jaisalmer,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Housekeeping']","Near Fort Parking, Ring Road, Dhibba Para, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.911423, 70.91275",18
66,Sangram Desert Camp,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Restaurant', 'Room service', 'Housekeeping']","Sand Dune, Sangram Desert Camp, Barna Village, Khuri, Jaisalmer, Rajasthan, 345034",Jaisalmer,India,"26.677738, 70.688146",60
67,Hotel Pansari Palace,,,"['Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant', 'Business services']","Khuri Village, Jaisalmer, Rajasthan, 345034",Jaisalmer,India,"26.611568, 70.714104",18
68,Hotel Lal Garh Fort And Palace,4.9,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Patwa Haveli Road, Kalakar Colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.918833, 70.912183",
69,Treebo Trend Desert Boutique Resort,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry', 'Restaurant']","Dessert Boutique Resort, Kaji ki Dhani, Turke Ki Basti, Sam Sand Dunes, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.864062, 70.550559",
70,Gorbandh Palace,3.8,Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","No. 1 Tourist Complex, Sam Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.913575, 70.867567",
71,Royal Golden Camp,,,"['Parking included', 'Restaurant', 'Room service', 'Housekeeping', '24/7 front desk']","Sand Dunes 3 Km, Damodara Village, Near Desert National Park Sam Sand Dunes, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.90025, 70.60055",
72,The Secret House - Adults Only,5.0,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Geeta Ashram Circle 100 Meters, Towards dedansar Road Jaisalmer, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.918401, 70.908959",
73,Oasis Camp Sam,,,"['Free airport shuttle', 'Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry']","Near sand dunes parking, Village sam, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.83075, 70.5343",
74,Rajasthan Adventure Resort,5.0,Exceptional,"['Parking included', 'Laundry', 'Restaurant', 'Business services', 'Bar', 'Room service']","Sam Sand Dunes, Near Parking, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.845449, 70.535308",
75,Desert Glamping,,,"['Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Pool', 'Restaurant']","Near Sam Sand Dunes, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.854484, 70.551742",
76,The Gulaal,4.9,Exceptional,"['Spa', 'Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool']","Opp Nagarpalika, Jaisalmer, Rajasthan, 302023",Jaisalmer,India,"26.903972, 70.912024",
77,Casa de kaku,5.0,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","sun set point, suli dungar, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.9199, 70.9139",
78,Wind Desert Camp,4.2,Very Good,"['Parking included', 'Breakfast included', 'Laundry', 'Pet friendly', 'Restaurant', 'Bar']","Khaba Road, Village Kanoi, Sam Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.843055, 70.544023",
79,Hotel Sparrow Palace,,,"['Spa', 'Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Business services']","Dedanser Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.919198, 70.909329",
80,ADB Rooms Hotel Yellow Stone Jaisalmer,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","504, Hanuman Chauraha, Dr. K. L. Achalvanshi Colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.915914, 70.90791",
81,Hotel Rawal Kot,4.2,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Jodhpur Jaisalmer Highway, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.917903, 70.945728",
82,KF Resort,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Restaurant', 'Gym']","Across Sam Sand Dunes, Main Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.839431, 70.541184",
85,Kasam Desert Safari Camp,,,"['Parking included', 'Breakfast included', 'Laundry', 'Restaurant', 'Business services', 'Room service']","Sam Sand Dunes, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.855026, 70.55244",
86,Jaipur Desert Camp,,,"['Free WiFi', 'Parking included', 'Breakfast included', 'Room service', 'Housekeeping', '24/7 front desk']","sand dunes, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.830098, 70.537177",
87,Desert Dunes Jaisalmer,,,"['Spa', 'Parking included', 'Laundry', 'Room service', 'Housekeeping', '24/7 front desk']","Next to Sam Dunes, Sam Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.866545, 70.56665",
88,Blessing Hotel,,,"['Free WiFi', 'Parking included', 'Pet friendly', 'Pool', 'Room service']","Near Dhibba Para, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.910534, 70.914581",
