hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
1,Fairfield by Marriott Jodhpur,3.9,Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Gym']","Opposite New High Court, Near, Shatabdi Circle, Vijay Raje Najar, Jodhpur, Rajasthan, 342013",Jaisalmer,India,"26.217009, 73.045039",160
2,Taj Hari Mahal Jodhpur,4.5,Wonderful,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Pool']","5 Residency Road, Jodhpur, Rajasthan, 342 001",Jaisalmer,India,"26.265017, 73.012133",136
3,RAAS Jodhpur,4.6,Wonderful,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included']","Tunwarji Ka Jhalara, Makrana Mohalla, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.297539, 73.022603",266
4,Radisson Jodhpur,4.0,Very Good,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Pool']","8 Residency Road, Gaurav Path, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.264795, 73.031109",87
5,The Ajit Bhawan - A Palace Resort,4.4,Excellent,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included']","Circuit House Road, Jodhpur, Rajasthan, 342006",Jaisalmer,India,"26.250854, 73.047152",191
6,"Welcomhotel by ITC Hotels, Jodhpur",4.5,Wonderful,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Pool', 'Restaurant']","Khasra No.53, Village Uchiyarda, Near Vidhyashram International School, Jodhpur, Rajasthan, 342027",Jaisalmer,India,"26.262323, 73.12736",101
7,Clarks Inn Jodhpur,4.0,Very Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Bar']","30 Umed Club Rd, Jodhpur, RJ, 342001",Jaisalmer,India,"26.288328, 73.034245",37
8,Fairfield by Marriott Jodhpur,3.9,Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Gym']","Opposite New High Court, Near, Shatabdi Circle, Vijay Raje Najar, Jodhpur, Rajasthan, 342013",Jaisalmer,India,"26.217009, 73.045039",160
9,Indana Palace Jodhpur,3.9,Good,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Pool']","Opp. Military Officer Quarters, Benayakiya Road, Shikargadh, Jodhpur, Rajasthan, 342 001",Jaisalmer,India,"26.269582, 73.069966",173
10,Park Plaza Jodhpur,3.7,Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Pool', 'Restaurant']","Jhalamand House Airport Road, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.218133, 73.042088",64
