,rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
92,93,The Rajwada Library Bar - The Oberoi Rajvilas,https://www.zomato.com/jaipur/the-rajwada-library-bar-the-oberoi-rajvilas-agra-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Oberoi Rajvilas, Goner Road, Near Agra Road, Jaipur",Jaipur,26.876271396,75.8824771643,6 PM to 11 PM,3.3,Finger Food,"['Dinner', 'Cash', 'Debit Card', 'Credit Card', 'Indoor Seating', 'Wheelchair Accessible', 'Nightlife', 'Fullbar', '4/5 Star', 'Valet Parking Available', 'Air Conditioned']"
102,103,Le Gourmet Restaurant,https://www.zomato.com/jaipur/le-gourmet-restaurant-amer?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Buena Vista Resorts, Delhi- Jaipur Highway Pili Ki Talai, Amer, Jaipur",Jaipur,26.9830500286,75.9063146263,7 PM to 11 PM,0.0,"North Indian, Continental","['Dinner', 'Cash', 'Credit Card', 'Takeaway Available', 'Debit Card', 'Free Parking', 'Fullbar', 'Beer', 'Digital Payments Accepted', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Table reservation required', 'Air Conditioned']"
125,126,Mehrab-Royal Heritage Haveli,https://www.zomato.com/jaipur/mehrab-royal-heritage-haveli-khatipura-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 116, Khatipura Tiraya, Jhotwara Road, Khatipura Road, Jaipur",Jaipur,26.9252763013,75.7457653061,11 AM to 11 PM,3.1,"Finger Food, North Indian, Continental","['Lunch', 'Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Indoor Seating', 'Wheelchair Accessible', 'Nightlife', 'Outdoor Seating', 'Poolside', 'Serves Cocktails', 'Air Conditioned', 'Smoking Area', 'Fullbar']"
150,151,Mansagar - Trident Jaipur,https://www.zomato.com/jaipur/mansagar-trident-jaipur-amer-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Trident Jaipur, Opposite Jal Mahal, Amer Road, Jaipur",Jaipur,26.9567323584,75.8431831375,11 AM to 11 PM,3.2,Finger Food,"['Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Lunch', 'Indoor Seating', 'Wheelchair Accessible', 'Nightlife', 'Outdoor Seating', 'Air Conditioned', 'Fullbar']"
151,152,Cafe Amer - The Gold Palace & Resorts,https://www.zomato.com/jaipur/cafe-amer-the-gold-palace-resorts-kukas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Gold Palace & Resorts, 8th Mile Amer Fort, Jaipur-Delhi Highway, Kukas, Jaipur",Jaipur,27.0465389063,75.90272616600001,11 AM to 11 PM,3.2,Finger Food,"['Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Lunch', 'Air Conditioned', 'Fullbar', 'Indoor Seating', 'Wheelchair Accessible', 'Nightlife']"
153,154,Chak 74,https://www.zomato.com/jaipur/chak-74-bani-park?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Nirbana Palace, Main D Villa Building, Khasa Kothi Circle, Station Road, Bani Park, Jaipur",Jaipur,26.921726,75.794774,11 AM to 11 PM,3.1,"North Indian, Continental","['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'Serves Alcohol', 'Fullbar', 'Indoor Seating', 'Poolside', 'Air Conditioned', 'Smoking Area']"
156,157,Ehsaas - Pride Amber Vilas,https://www.zomato.com/jaipur/ehsaas-pride-amber-vilas-tonk-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Pride Amber Vilas, 12 Mile, Vatika Mod, Tonk Road, Jaipur",Jaipur,26.7682225735,75.8361584321,11 AM to 11 PM (Mon-Sun),3.2,Finger Food,"['Cash', 'Credit Card', 'Debit Card', 'Fullbar', 'Wifi', 'Indoor Seating', 'Air Conditioned', 'Nightlife']"
175,176,Shikaar Bagh,https://www.zomato.com/jaipur/shikaar-bagh-narayan-singh-circle?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Narain Niwas, Kanota Bagh, Narayan Singh Circle, Jaipur",Jaipur,26.8987860704,75.8141244203,12noon – 1am (Mon-Sun),4.1,"Continental, Italian, North Indian, Rajasthani","['Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Air Conditioned', 'Fullbar', 'Indoor Seating', 'Outdoor Seating', 'Table booking recommended']"
180,181,Caffe Palladio Jaipur,https://www.zomato.com/jaipur/caffe-palladio-jaipur-1-narayan-singh-circle?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Santha Bagh, 100, J.LN. Marg, Near Trimurti Circle, Narayan Singh Circle, Jaipur",Jaipur,26.8996968257,75.8160016313,"12:30 PM to 10 PM (Mon, Wed-Sat), 10:30 AM to 10 PM (Sun), Tue Closed",3.9,"Italian, Turkish, Lebanese","['Lunch', 'Serves Alcohol', 'Takeaway Available', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area', 'All Day Breakfast', 'Indoor Seating', 'Table booking recommended', 'Wifi']"
184,185,Yadhuvans Corner,https://www.zomato.com/jaipur/yadhuvans-corner-malviya-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"114, Narsingh Vihar, Near Skit College, Jagatpura, Near Malviya Nagar, Jaipur",Jaipur,26.8237808561,75.8656375855,8 AM to 10 PM,2.9,Street Food,"['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Indoor Seating', 'Pure Veg', 'Digital Payments Accepted']"
