hotel_id,hotel_name,hotel_price
1,Jaipur Marriott Hotel,94
2,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",72
3,Hilton Jaipur,63
4,"Trident, Jaipur",74
5,Jaipur Marriott Hotel,94
6,Hilton Jaipur,63
7,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",72
8,"Holiday Inn Jaipur City Centre, an IHG Hotel",66
9,"Four Points by Sheraton Jaipur, City Square",61
10,The Oberoi Rajvilas,362
11,5 BY OYO METROPOLITAN,75
12,Rambagh Palace,499
13,"Crowne Plaza Jaipur Tonk Road, an IHG Hotel",54
14,"Four Points by Sheraton Jaipur, City Square",61
15,Umaid Bhawan - A Heritage Style Boutique Hotel,63
16,Le Méridien Jaipur Resort & Spa,114
17,Radisson Jaipur City Center,60
18,"Devi Ratn, Jaipur -IHCL SeleQtions",208
19,Chokhi Dhani Resort Jaipur,114
20,The Leela Palace Jaipur,201
21,Radisson Blu Jaipur,74
22,Umaid Mahal - A Heritage Style Boutique Hotel,46
23,Buena Vista Luxury Resort,322
24,Alsisar Haveli - A Heritage Hotel,101
25,Rajmahal Palace RAAS,516
26,Royal Heritage Haveli,142
27,Ramada by Wyndham Jaipur,90
28,Umaid Haveli Hotel & Resorts,108
29,Ramada by Wyndham Jaipur North,57
30,Doubletree by Hilton Jaipur Amer,161
31,Sarovar Premiere Jaipur,60
32,Narain Niwas Palace,88
33,Zone by The Park Bani Park Jaipur,86
34,Bissau Palace,67
35,ibis Jaipur Civil Lines Hotel,47
36,Pearl Palace Heritage,39
37,Hotel Royal Orchid,56
38,Leisure Inn Grand Chanakya,30
39,Vesta International,32
40,The Fern Residency Jaipur,29
41,"Lemon Tree Premier, Jaipur",94
42,Clarion Inn Jaipur,94
43,"Bara Bungalow Kalwar, Jaipur - A Rosakue Collection",94
44,Crimson Park - The Heritage,67
45,Om Niwas Suite Hotel,50
46,Hotel Empire Regency,60
47,Khas Bagh,73
48,"Tree of Life Chhota Mahal, Amer, Jaipur",96
49,Hotel De Nada,58
50,Barwara Kothi,67
51,Comfort Inn Sapphire,47
52,The Fern - An Ecotel Hotel Jaipur,64
53,Sarovar Portico Jaipur,107
54,Dera Rawatsar - Heritage Hotel,50
55,County Inn Hotel,97
56,Khandwa Haveli,43
57,Royal Orchid Central Jaipur,53
58,Hotel 360,27
59,Sanskar Prime Hotel,42
60,Hotel Cordon Vay,19
61,Pink Pearl Resort and Fun City,31
62,Hotel Silver Pride,25
63,Hotel Royal Empire,51
64,Kapish Home - Heritage Virtuous Stay,29
65,Laxmi Palace Heritage Boutique Hotel,36
66,Hotel Dev Villas,36
67,Hotel Triveni Residency,16
68,Broadway Inn,42
69,Clarks Amer,75
70,Villa 243,44
71,Jagrati Ananta Express,50
72,Hotel Vimal Heritage,38
73,Hotel Sarang Palace,21
74,Royal View Hotel,19
75,Shahpura Residency,32
76,Anuraag Villa,24
77,Hotel Gandharva - A Green Hotel,45
78,KK Royal Hotel & Convention Centre,111
79,OYO 22966 Hotel Raj Niwas,33
80,"Lords Plaza, Jaipur",27
81,Suryaa Villa - A City Centre Hotel,47
82,hotel S57,29
83,Hotel Marigold Jaipur,51
84,The Zest,18
85,Capital O 14864 Hotel Satyam Inn,49
86,Hotel Sumaditya,31
87,Jaipur Hotel New,24
