hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
1,Taj Lake Palace,4.8,Exceptional,"['Hot Tub', 'Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry']","Lake Pichola, P.O. Box 5, Udaipur, Rajasthan, 313001",Udaipur,India,"24.575426, 73.680078",557.0
2,The Leela Palace Udaipur,4.7,Exceptional,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Lake Pichola, Udaipur, 313001",Udaipur,India,"24.57928, 73.67803",579.0
3,"The Oberoi Udaivilas, Udaipur",4.9,Exceptional,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Haridasji Ki Magri, Udaipur, Rajasthan, 313001",Udaipur,India,"24.578749, 73.671108",541.0
4,Taj Aravali Resort & Spa,4.5,Wonderful,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","1, Kheemach Kheda, Bhujra, Girwa, near, Kodiyat Forest Chowki, Udaipur, Rajasthan, 313031",Udaipur,India,"24.578988, 73.61191",208.0
5,Radisson Blu Udaipur Palace Resort & Spa,4.5,Wonderful,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Near Fateh Sagar Lake, Ambamata, Udaipur, Rajasthan, 313001",Udaipur,India,"24.589083, 73.669824",186.0
6,Treebo Trend Orbit,4.9,Exceptional,"['Air conditioning', 'Free WiFi', 'Laundry', 'Restaurant', 'Room service', 'Housekeeping']","1, University Rd, opposite Super Market, Shastri Circle, Ashok Nagar, Udaipur, Udaipur, Rajasthan, 313001",Udaipur,India,"24.587101, 73.699444",133.0
7,Hotel Lakend,4.0,Very Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Breakfast included', 'Parking included', 'Laundry']","Fatehsagar Lake Shore, Alkapuri, Udaipur, Rajasthan, 313001",Udaipur,India,"24.590801, 73.676777",114.0
8,The Lalit Laxmi Vilas Palace,4.2,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Gym']","Opp Fateh Sagar Lake, Udaipur, Rajasthan, 313004",Udaipur,India,"24.593334, 73.682497",188.0
9,juSTa Sajjangarh Resort & Spa,4.0,Very Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Opposite Biological Park, Near Sajjangarh Main Gate, Udaipur, Rajasthan, 313001",Udaipur,India,"24.588607, 73.6518",93.0
10,Taj Fateh Prakash Palace,4.2,Very Good,"['Hot Tub', 'Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry']","Lake Pichola, The Palace Complex, Udaipur, Rajasthan, 313001",Udaipur,India,"24.576583, 73.683774",302.0
