rest_id,rest_name,rest_url,rest_address,city,country,latitude,longitude,location_url,rest_timing,rest_rating,rest_review,rest_about,cuisines,features,meals
1,Jaisalmer Kitchen,https://www.marriott.com.au/hotels/hotel-information/restaurant/jsamc-jaisalmer-marriott-resort-and-spa/,"Jaisalmer - Sam - Dhanana Road Police Line Jaisalmer, Jaisalmer 345001 India",Jaisalmer,India,26.93838,70.89631,"https://maps.google.com/maps?saddr=&daddr=Jaisalmer+-+Sam+-+Dhanana+Road+Police+Line+Jaisalmer%2C+Jaisalmer+345001+India@26.93838,70.89631",06:30 AM - 11:00 PM,5.0 ,91,None,"Bar, Pub, Asian","Reservations, Table Service, Seating, Wheelchair Accessible",None
2,The Traveler's Cup Premium Coffee Shop,http://www.facebook.com/TheTravelersCupPremiumCoffeeShop/,"Inside Dharan Book Store, Opposite Sun Temple, Vyasa Para, Inside Fort, Jaisalmer 345001 India",Jaisalmer,India,26.912542,70.91212,"https://maps.google.com/maps?saddr=&daddr=Inside+Dharan+Book+Store%2C+Opposite+Sun+Temple%2C+Vyasa+Para%2C+Inside+Fort%2C+Jaisalmer+345001+India@26.912542,70.91212",09:30 AM - 9:30 PM,5.0 ,373,"""Our espresso recommended by Lonely Planet India & Rajasthan, Delhi & Agra 2015"". Are you tired of drinking ""Indian style"" coffee that is often improperly-made, of low-quality, or both? We are too! That's why we're excited to make the best freshly-brewed drink for you to enjoy at The Traveller's Cup. What makes us different? - We understand what it takes to make great filtered coffee and espresso drinks. - We know that a great cup of coffee starts with using quality ingredients and that's why we only use premium Fair-Trade imported coffee, freshly-brewed when you order. - If your drink isn't as you'd like it, we'll make it right! - Our drinks are competitively priced, the same as others charge for instant coffee! (because we want you to leave completely satisfied!). - We offer a relaxed, peaceful & fan-cooled atmosphere with comfortable seating, and we also offer complimentary wireless internet (wifi) for every guest. Come visit us today for the best coffee, latte, or cappuccino around!**We're located inside Dharam Internet Cafe and Bookshop, opposite the Sun Temple (Surya Mandir) less than a five minute walk from the palace and Jain temple**","Cafe, Healthy","Takeout, Free Wifi, Accepts Credit Cards, Table Service, Free off-street parking, Digital Payments",None
3,Prithvi Restaurant,,"Kalakar Colony, Jaisalmer 345001 India",Jaisalmer,India,26.919054,70.911575,"https://maps.google.com/maps?saddr=&daddr=Kalakar+Colony%2C+Jaisalmer+345001+India@26.919054,70.911575",07:30 AM - 11:00 PM,5.0 ,279,We are situated in the heart of the city on the Rooftop of Hotel Prithvi Palace. Enjoy your food with magnificent View of the Jaisalmer Fort.,"Indian, Fast food, European, Asian","Reservations, Seating, Parking Available, Validated Parking, Serves Alcohol, Table Service",None
4,The Turban restaurant and cafe,http://resturenttheturbanandcafe.business.site/,"Artist Colony Near Sunset Point, Jaisalmer 345001 India",Jaisalmer,India,26.919537,70.91153,"https://maps.google.com/maps?saddr=&daddr=Artist+Colony+Near+Sunset+Point%2C+Jaisalmer+345001+India@26.919537,70.91153",08:30 AM - 10:30 PM,5.0 ,210,"The Turban Restaurant and cafe is a roof top restaurant from where one can enjoy the sunset and View of Golden fort in jaisalmer,Rajasthan. We are committed to satisfying our customers with great food and excellent service. We offer a wide variety of delicious multi cuisine dishes. Take a look at our wonderful menu and you'll find everything that you need! Indian cuisine varies from region to region, reflecting the varied demographics of the ethnically diverse Indian subcontinent. You can find a wide variety of dishes available here to choose from.'","Indian, Cafe, Barbecue","Reservations, Outdoor Seating, Seating, Free Wifi, Table Service, Delivery, Takeout, Parking Available, Digital Payments, Live Music, Family style",None
5,Hotel Pol Haveli Restaurant,http://www.hotelpolhaveli.com/,"Dedansar Road Near Hanuman Circle, Jaisalmer 345001 India",Jaisalmer,India,26.91977,70.909584,"https://maps.google.com/maps?saddr=&daddr=Dedansar+Road+Near+Hanuman+Circle%2C+Jaisalmer+345001+India@26.91977,70.909584",09:00 AM - 11:00 PM,5.0 ,216,None,"Indian, Asian","Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Free Wifi, Table Service",None
6,Kuku Coffee Shop,https://www.facebook.com/Kukucoffeeshop-427306327368864/,"Inside Jaisalmer Fort, Near Hari Om Jewellers, Chougen Para, Jaisalmer 345001 India",Jaisalmer,India,26.914143,70.91214,"https://maps.google.com/maps?saddr=&daddr=Inside+Jaisalmer+Fort%2C+Near+Hari+Om+Jewellers%2C+Chougen+Para%2C+Jaisalmer+345001+India@26.914143,70.91214",09:30 AM - 9:30 PM,5.0 ,409,"Here at Kuku Coffee Shop we pride ourselves on our friendly service and real coffee. By real we mean we know the difference between an espresso, a cappuccino, and a latte. Why not come put our knowledge to the test and enjoy real ground coffee served to your taste. If coffee is not your style, please enjoy our tea and cold beverage selection including lassis and milkshakes. All our teas are made with fresh ingredients and our masala chai is our own recipe. If food is what you are after please come with a bit of extra time or let us take your order in advance because all our ingredients come fresh from the market and need to be collected special for you. We also have to offer a beautiful sunset view of Jaisalmer from our rooftop. Here at Kuku Coffee Shop we aim to please and do not want you simply as customers, but as friends. Everyone who spends a bit of time here becomes family and we wouldn't have it any other way.","Indian, Fast food, Cafe, Healthy","Outdoor Seating, Seating, Cash Only, Free Wifi, Street Parking, Free off-street parking, Wine and Beer, Table Service",None
7,Jaisalmer Oasis Restaurant,http://jaisalmer-oasis-restaurant.business.site/,"Vyasa Pada, Inside Fort Jaisalmer, Near Jain Temple, Jaisalmer 345001 India",Jaisalmer,India,26.912106,70.91161,"https://maps.google.com/maps?saddr=&daddr=Vyasa+Pada%2C+Inside+Fort+Jaisalmer%2C+Near+Jain+Temple%2C+Jaisalmer+345001+India@26.912106,70.91161",07:00 AM - 11:30 PM,5.0 ,148,"Rooftop with amazing view of golden city jaisalmer,with music , candle light dinner, with best view of Jain temple and sunset sunrise, typical of Rajasthani food Indian thali,","Italian, Indian, Asian","Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Free Wifi, Table Service",None
8,The Panorama Jaisalmer,http://www.facebook.com/thepanoramajsm/,"On Fort Kotari Para, Jaisalmer 345001 India",Jaisalmer,India,26.912764,70.914505,"https://maps.google.com/maps?saddr=&daddr=On+Fort+Kotari+Para%2C+Jaisalmer+345001+India@26.912764,70.914505",08:00 AM - 10:00 PM,5.0 ,185,None,"Indian, Asian, Vegetarian Friendly",None,None
9,Pleasant Haveli - Roof Top Restaurant,http://www.pleasanthaveli.com,"ChainPura Street - Gandhi Chowk, Jaisalmer 345001 India",Jaisalmer,India,26.91731,70.91113,"https://maps.google.com/maps?saddr=&daddr=ChainPura+Street+-+Gandhi+Chowk%2C+Jaisalmer+345001+India@26.91731,70.91113",07:00 AM - 10:00 PM,5.0 ,508,"Pleasant Haveli- Roof Top Restaurant Offers Continental & Indian Food & Drinks Along With Magnificent View Of Jaisalmer Fort , Vyas Chattri (Cenotaphs), Sunset / Sunrise view. We also Offer Free Wi-Fi Services To Our Valuable Guest.","Indian, Asian, International","Outdoor Seating, Parking Available, Free off-street parking, Serves Alcohol, Wine and Beer, Free Wifi, Takeout, Reservations, Seating, Accepts Credit Cards, Table Service",None
10,Green park restaurant,http://www.greenparkresourt.com,"Air Force Road Near Air Force Station Jaisalmer, Jaisalmer 345001 India",Jaisalmer,India,26.903673,70.90728,"https://maps.google.com/maps?saddr=&daddr=Air+Force+Road+Near+Air+Force+Station+Jaisalmer%2C+Jaisalmer+345001+India@26.903673,70.90728",09:00 AM - 11:00 PM,5.0 ,151,"The Green Park Resort is the one which is serving selected and typical Indian cuisine .It is dedicated to the success of full-service restaurants including those operating full-service restaurants, hotels, resorts, clubs, and catering operations. It is serving its wide range of food varieties - from mildly spicy to fiery hot, vegetarian soups, naan bread, cheese or ""paneer"", sweets. Come and feel the difference where every dish is Inviting and every bite is Exciting. We treat our costumers as our guests. Hence, we believe in not only good customer service and reasonable price, but are also dedicated to the quality of food. Customer satisfaction is our motto and central to our service.","Indian, Asian","Delivery, Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Television, Highchairs Available, Accepts Credit Cards, Table Service",None
