rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
1,Agarwal Caterers,https://www.zomato.com/jaipur/agarwal-caterers-vaishali-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Crown Square, Gandhi Path, Vaishali Nagar, Jaipur",Jaipur,26.9050637343,75.7448134571,7 AM to 10:30 PM,4.3,"Mithai, North Indian, South Indian, Street Food, Chinese","['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes']"
2,The Night Jar,https://www.zomato.com/jaipur/the-night-jar-mi-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3rd Floor, Leisure Inn Grand Chanakya, Panch Batti, MI Road, Jaipur",Jaipur,26.916729825700003,75.80793187020001,"12 Noon to 1 AM (Mon-Thu, Sun), 12 Noon to 2 AM (Fri-Sat)",4.7,"North Indian, Continental, Chinese","['Dinner', 'Credit Card', 'Cash', 'Takeaway Available', 'Lunch', 'Debit Card', 'Table booking recommended', 'Rooftop', 'Indoor Seating', 'Live Music', 'Smoking Area', 'Fullbar', 'Nightlife', 'Live Sports Screening', 'Above 18 Only', 'Air Conditioned']"
3,Stardust,https://www.zomato.com/jaipur/stardust-tonk-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Terrace Floor, Signature Tower, Behind Apex Bank, Tonk Road, Jaipur",Jaipur,26.8832270469,75.7995137572,12noon – 2am (Mon-Sun),4.4,"North Indian, Continental, Momos","['Dinner', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Live Entertainment', 'Indoor Seating', 'Valet Parking Available', 'Private Dining Area Available', 'Beer', 'Live Sports Screening', 'Rooftop', 'Outdoor Seating', 'Smoking Area', 'Poolside', 'City View', 'Table booking recommended', 'Wine', 'Air Conditioned']"
4,Muhammadi Palace,https://www.zomato.com/jaipur/muhammadi-palace-1-sindhi-camp?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1307, Opposite Metro Station, Chandpole Gate, Sindhi Camp, Jaipur",Jaipur,26.9271347429,75.8087680489,9am – 12midnight (Mon-Sun),3.9,"North Indian, Mughlai","['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Buffet', 'Indoor Seating', 'Air Conditioned', 'Table Reservation Not Required']"
5,ZARZA,https://www.zomato.com/jaipur/zarza-bais-godam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"9th Floor, Dreamax Plaza, Opposite Parivan Bhawan, Sahakar Marg, Bais Godam, Jaipur",Jaipur,26.8965163262,75.7932796329,"4pm – 1:30am (Mon, Tue, Thu, Fri, Sun), 4pm – 2am (Wed, Sat)",4.3,"North Indian, Continental, Italian, Chinese","['Dinner', 'Cash', 'Credit Card', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Restricted Entry', 'Wifi', 'Nightlife', 'Fullbar', 'Live Music', 'Rooftop', 'Table booking recommended', 'Air Conditioned', 'Smoking Area']"
6,Vegetrainian,https://www.zomato.com/jaipur/vegetrainian-lal-kothi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"B 46, Lal Kothi Scheme, Sahkar Marg, Lal Kothi, Jaipur",Jaipur,26.8902381872,75.7945707813,11 AM to 11 PM,4.5,"North Indian, Italian, Chinese","['Lunch', 'Cash', 'Credit Card', 'Dinner', 'Debit Card', 'Free Parking', 'Table booking recommended', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Pure Veg']"
7,OUT - Once Upon A Terrace,https://www.zomato.com/jaipur/out-once-upon-a-terrace-vaishali-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Elements Mall, 8th, Ajmer Road, DCM, Vaishali Nagar, Jaipur",Jaipur,26.895237,75.748588,2pm – 2am (Mon-Sun),4.3,"North Indian, Italian, Continental","['Lunch', 'Serves Alcohol', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Credit Card', 'Nightlife', 'Wine', 'Indoor Seating', 'Digital Payments Accepted', 'Outdoor Seating', 'Beer', 'Rooftop', 'Free Wifi', 'Air Conditioned', 'Smoking Area']"
8,Qila Patiala,https://www.zomato.com/jaipur/qila-patiala-raja-park?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 5-6, Panchwati Circle, Raja Park, Jaipur",Jaipur,26.8952796238,75.8300798759,12 Noon to 1 AM,4.2,North Indian,"['Lunch', 'Takeaway Available', 'Delivery', 'Debit Card', 'Cash', 'Dinner', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Outdoor Seating', 'Pure Veg', 'Digital Payments Accepted']"
9,360°,https://www.zomato.com/jaipur/360°-3-c-scheme?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Top Floor,JTN Anukampa Plaza, Near Raj Mandir, C Scheme, Jaipur",Jaipur,26.9148709137,75.80964747819999,1pm – 1am (Mon-Sun),4.4,"North Indian, Chinese, Continental, Finger Food, Momos","['Cash', 'Credit Card', 'Lunch', 'Dinner', 'Takeaway Available', 'Debit Card', 'DJ', 'Nightlife', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Wifi', 'Live Sports Screening', 'Fullbar', 'Live Music', 'Air Conditioned', 'Smoking Area', 'Rooftop']"
10,Youniverse,https://www.zomato.com/jaipur/youniverse-malviya-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Rooftop At Hotel Royal Empire 83, Sundar Nagar, Girdhar Marg, Malviya Nagar, Jaipur",Jaipur,26.8475791133,75.80613680180001,2pm – 2am (Mon-Sun),4.1,"North Indian, Mexican, Italian","['Takeaway Available', 'Dinner', 'Credit Card', 'Debit Card', 'Cash', 'Fullbar', 'Wifi', 'City View', 'Rooftop', 'Nightlife', 'Table booking recommended', 'Free Parking', 'Outdoor Seating', 'Smoking Area']"
